uid,cid,workload,strategy
5be4ad0aff68b30001975464,SU,3,"I had some trouble on the combination questions, but my strategy was to double check my answers and try to keep track of what the totals were in my head each time."
5ee8a0884efd881a3e166a65,SU,4,"It was hard to find the correct description to match, but the different sections with high and low risk for example, made it easier to narrow it down"
5f48c980d8963d38bc9e91b1,SU,3,"I had to scan the image and look for the requested information, it was easy to to find the risk, but the certain values were more difficult to keep track of."
5eeba61a6480680fa250a4f5,SU,2,"I worked methodically down the list, counting as necessary the instances of each combination."
5dc5da21d999de45a504651b,SU,3,"I just found all the ones with the ones you were asking for and totalled them up, it was pretty hard as I find it hard to keep figures in my head if I had a piece of paper it would have been easy"
5ac560359534ba0001c74715,SU,3,I did a lot of writing things down so I could keep track of it better.
5e59982929132107a864c783,SU,1,added
5edeea354d54cb1a825aa8f9,SU,3,i made a group of features to ascertain the actual answers. it was a little hard to remember and to answer accurately
5f29987aaac0ef0d01b5ff65,SU,2,I found it hard because I was doing it all mentally but it was as simple as just counting the amount of times I saw the value appear 
5f479b66ccae1c18c6c17105,SU,1,finding the name of the variables and see if its high or low or medium
595bf7acc76e6700014d33fc,SU,4,Counting the number of items
5f5f8c538c9075064b38315f,SU,2,"Read it allowed and read the 'm'''h'and'l's out loud many times. The second type of questions were harder, with the second part of that with the 'and' clause, even harder."
5f4d1bc026199998eabe619d,SU,2,All of the question types were easy accept for the ones at the end that provided the outcome and asked for the most common combinations of features in the rule. All other questions I used simple counting of the most common feature values and compared them across the two groups.
5eea8b729b444a1a0548fec2,SU,2,"Could easily remember the places of features so it took me less time than looking for it manually. Also I found some tasks hard to count when there were choices between M or H, L or M."
5ea966fdba2670042501b1e0,SU,3,Quickly skim through the data to get a general idea and then go back through it to get more detail.
5f474877452857130314c9d1,SU,3,follow the training and video
5bc772a554b3bc0001a33bde,SU,4,found it hard to visualise and remember the different categories
5ec3f96a7bd12a09e859341b,SU,2,just read the question
5f4e4a3855e29614e80a8e25,SU,3,I would try tally in my head the certain values for each category. I found the last lot of questions hard (the combination ones) I kept not understanding why I was getting it wrong on the practice.
5f4914ad7bb92a40b772e4d9,SU,4,i would do a tally chart to count how many LMorH their were.
5eb6eccc6b2e3c08e61f7c39,SU,4,Looked for the most common letter
5ebfa8e876e71738dd5eec17,SU,2,"It was hard to scan through the information because it was so close together, but the task itself was easy."
5f568b81712ed00cb3759181,SU,2,I went line by line. The hardest questions were the ones with combinations. 
5ee18bf26f65731adc9c36f1,SU,2,average look at the answers
5c69483358b97400013b3685,SU,1,Logically going through all the options
5d1f983ebf6d0300012ceffe,SU,2,"In both sections I started by finding all the potential rules to save time, then I simply counted in my head to find which rule was most common, labelling each with the possible answers.

I found it hard to initially understand what the questions asked for, even after completing the same type beforehand."
5f0771a92b566a37faa5f2e0,SU,3,It helped me to make notes whilst answering the questions. 
59974e4f0ed7ae0001991a1e,SU,2,writing them out
548cdd6bfdf99b586046fb39,SU,4,  I tried to see ehich ones appered most in each category
5bdc8f69950dce0001bddd7e,SU,2,I found it more difficult when there were more of the same combinations
583f02c8ca2e57000184353c,SU,2,I really just tried to make sure I was reading the information clearly and counting the combinations/variables in my head
5f560c98c03d6b056a3650fe,SU,3,elemination
5efd22056ec55516587f32a6,SU,2,I just start at the top row and worked my way down the list while keeping the number of times it match the question which I found pretty easy to do.
5e9edad6e7784d016ed87b36,SU,2,Simply reading and keeping a tally in my head proved productive.
5f4e1699f565adaefb015182,SU,2,I scanned the page to isolate the correct features that I was looking for in each rule before attempting to compare them.
5cd089a018a86d0001b2fda6,SU,3,"The first step was identifying each instant which had the elements that the question was asking for, then it was counting each instance and answering with the values that showed up the most"
5f3c156a2ee10fa057e57d0e,SU,2,"I found it fairly easy to use the information provided to answer the questions, the combination questions where a tiny bit more tricky."
5ebee3b533dc312a4636028a,SU,2,Looked at the words and remembered the values
5f58e16e0fcd7108c2479e7c,SU,2,I wrote down how each R and how many of the elements that it had was in and counted which side had more 
5d470786da637a00014ba26f,SU,2,I just looked down the list in order from top the bottom for the information I was required to check. The earlier questions were easy to check quickly and the combinations were slightly harder to keep a running total of.
5f107aa051372032695c8e2f,SU,1,"For type 1 questions I kept a tally of the correct conditions in each label. For the type 2 questions, I kept a tally of the occurances of low, medium, and high values for the features in question, before switching to writing out the value combinations in the last three questions, then counting the occurances of each."
5efb03ef4cd406000b96ed93,SU,2,Process of elimination- find which rules correlated with the question in order to make my decision.
5f481b06c2faa82a83a17564,SU,4,"I found it okay to go line by line, and try to keep track of how many times I see the value asked for in the question. Though I did find it difficult to keep track of which value went to which when it asked me to look for 2 instead of 1. "
5f16ccc87d339d0008e08016,SU,4,"I used a separate word document to note down low, medium or high then collated the answers afterwards. it was difficult, especially when there were 2 variables at once"
5f25e4ce3070d92d4bc46134,SU,3,tried to find the medium of each answer 
5e40135348b18c000c5d6a61,SU,2,Isolated the answers containing the fields to be analysed. Hard to keep a track mentally when multiple answers.  Easy to pick out individual qualities.
5f52585f5eceb74e35b1c704,SU,2,Tally - using paper and pen
5eb1614dfff7a624f18e62be,SU,3,initaily was difficvcult to understand using the credit system but think i got it when it camr to the elements an such 
5e3723a2c0b2896ad554be73,SU,1,Just concentrating on the words and values and making sure that I read the question fully
5b7332e8fd718d00013d0655,SU,4,"I followed basic ""If A, then B"" logic patterns, but I had more difficulty answering the ones that required me to factor in two elements, as they didn't always correlate the way I thought they would."
5df03e82650cd80a11bb8ead,SU,3,elimination and tally charting
59966d059845ef00014de3d5,SU,2,I tried to look at the patterns to make my predictions. 
558a1a79fdf99b2d7699aa79,SU,3,I looked through all of the combinations and picked the one I thought was most frequently shown.
5ea383db65c288304e377a72,SU,1,"Once I knew you needed to combine in the practice, it was easy. I just followed the rules and counted them as combinations in task 2"
5f0889eaeff16b0b1a12f565,SU,1,"it was fairly easy, did not do anything special "
5ea70b0537c5170b90ece8ac,SU,2,I would scan for the specified minerals/vitamins and then keep track on my fingers of the count of low/medium/high. That mostly applied to part 2.
5f608664df4c460216088707,SU,3,"Looking at the rules with only the asked features and then counting how many times the asked features appeared within those rules.  It was relatively doable until more than two features became involved, in which I had to take more time and even begin looking at the answer choices to narrow it down."
5c35655f87b777000170d85a,SU,1,I learned what I had to do from the training and just followed the instructions.
5db07d0f3b276c00161dc217,SA,4,gesswork
5f21fd432f24890008302531,SA,2,I used the table with the least values to make comparison easier.
5ce2cadbed552600199dc85c,SA,2,"Most of the questions seemed simple enough, but it was more tricky to assess the questions with a combination of answers. This was especially the case where there were several rules with two values for each feature."
5ccc9ace9731e100191422ab,SA,2,"i counted them all and found that easiest, i found it hard when there multiples in one line ."
569ad7c8af9ad7000b64253d,SA,2,looked at the values asked for and counted
5f5f7ca62445b10428933069,SA,2,"I found it rather hard to understand what to do regarding two pieces of data in the model, but aside from that I located the column I was looking for and looked for the most frequent letter that appeared.
"
5c7093155ba5060001ce5f1a,SA,2,I found the final questions harder - I made a tally count for each time I saw one of the multiple choice options appear on the graph
5d6a55cb78fce300014e078e,SA,3,"I looked down each column mentioned in the questions to see the symbols required to answer the questions. The difficult things for me was remembering what combinations came up the most and accidentally looking in the wrong section of the table: ""high risk"" and ""low risk"". The easiest thing to do was answering the questions that only required me to look at a single column."
5f50db296d9ce726e639d020,SA,2,Just followed patterns 
5f21e6c26a97191b91aadeee,SA,2,"counting values by feature was easy - I made some mistakes during training when counting values by feature and by rules - they seemed easy, but I'm less confident that I answered them correctly"
5ea0eccdddea230fb0e4f1d6,SA,2,Just needed to double check them.
5b9fec95c97c38000126d696,SA,2,I applied logic to my thought process
5ef086bbcb94ad5bd2de6ca6,SA,1,The overall task was easy. It was nice that it was connected to ML and how it works. The more ambiguous questions with varied combinations which had no clear prevailing pattern (or none that I could see clearly) were more difficult. 
5f09b598362fe7034e7c369d,SA,2,From the lesson it became intuitive to compare and count values across rows/columns within the grid. If looking at one set of values / a single column it was very easy; if the Q required comparison / assessing probability it was more difficult.
5f19a0cc322f3a000b25172a,SA,3,I found it difficult to answer the questions asking for the most common element with regards to two features.
5f2af36061a10a452cd8dc4e,SA,4,I used counting and working out across the two of them was difficult as i was worried i would miss something and the H and M began to look like each other throughout
5ea1dc309315030c68262aa3,SA,1,Find the most common in each filter and find union
5bce39c6bdb0060001d4c31e,SA,1,"If I needed more time, I would tally the M and H and L's in my head for each combination question. Overall easy task."
5f4d20aefc6fe997ede5a7c8,SA,2,It was hard comparing two chemicals' stuff together. When doing so I only looked at the rows of the two properties being compared that actually had values and didn't look when only one of the two had values.
5cac639638d61000014da640,SA,2,assumption and by counting
5d1d252e111ef300182bfb3b,SA,2,Just looked for the most common denominator with the information provided
5d7ebf9e93902b0001965912,SA,2,Found first set of questions easier to do
5e861e3aad5d5a23ed166c23,SA,2,needed to make sure i was looking at the correct sections in the able and matching accordingly
5f39806dc29bbc1014a85a72,SA,2,"I used an element of guessing and problem solving, i found reading the tables most challenging.
"
5f2175e522764352a52e1a55,SA,1,Everything easy
580cab86b869700001d71628,SA,5,"How many lows, mediums, and highs there were."
5a232191cbf02200012a2283,SA,2,read the question 
5e0fdde8b638537085d51b6c,SA,4,Counted number of highs and lows
5eea99b2638e481b2e074584,SA,2,"Took time and checked data against question, found this relatively easy to complete."
5f5a8366a5d808155508d64c,SA,3,no
5b2973a08c745200013b84ae,SA,3,"I tried to follow the instructions, got quite confused by the end. "
5f4538b6ffe9f50c3cbe3ae1,SA,2,Doubled checked my answers and made sure that when I try it again that it is that my answer is consistent
5c6659863595be0001ade448,SA,2,I tried to weigh all the possibilities. The more even my parameters were distributed among labels the lower my confidence was in what would be picked.
5e7760fbcce2a22c8c9698c7,SA,1,I found it easy as the instructions were clear and the methods of systematically looking at the data is logical. I was less confident when the questions were more complicated but mainly in case I had read the question wrong (e.g. read 'low risk' instead of 'high risk' so answered the question about the wrong section) rather than found the answer wrong.
5e87206614560f0118569c49,SA,2,"The combinations stumped me the most, but I think I did well."
5ece6bbcb53e7d21a8faa5bb,SA,1,I typically tried to eliminate possibilities from the options presented. If it looked uncertain I would count up how many of the different possibilities pointed to each option.
5e9ec8f7e16784000beea696,SA,2,Process of elimination. Finding common values.
5be1b59a8425f6000141b942,SA,2,Generally low unpaid bills is a good sign of credit acceptance with plenty of credit history
5d604ce86288010001e8df36,SA,3,The method was simply matching most of the time.
5f5571144af6f3944d6d2833,SA,4,"I had a hard time understanding predictions that are made using ""or"" in the value."
5f16480e6daab41e0cfe88c4,SA,2,"The only questions that were on the harder/time consuming side were the ones that asked for the most common combination. The strategy I used to solve those were to find one element that was the most common, and then find the most common secondary element that's also in the same row as the first."
5586015efdf99b4204044ae1,SA,2,Looking for the combinations and counting. It was more difficult when there were many similar combination or doubles such as ML MH and it was harder to count and keep track
5f235c88d7c5b4117f9ba2fb,SA,2,I had to cover up the rules and predictions which weren't relevant in order to process the large mass of information slightly more easily. I used my fingers on the screen a lot to follow along a column/row to ensure I was trying to be as accurate as possible.
5b421b9ac2e3810001763252,SA,2,"i looked for high and low risk categories and counted which contained more letters whether this be low, medium and high and went with the biggest variables."
5f21cbf0a6367c60710a9ad7,SA,4,"tried writing out a tally of the combinations, i struggle reading in tables"
5e94c3053972c80824bfeec2,SA,2,no
5eacb65b5fe9ad3315a0a595,SA,2,Calculating the risks and how many categories they fell under.
5f0dd043b221e201edcc92ee,SA,1,I found the last three questions the hardest
5c50efd2cc71f4000125ce0d,SA,2,"I counted the number of L, M and H number in each category then added them up. It was easy."
5f22bcd1a4bddc0322f5eef8,SA,2,It wasn't too hard. Just used what I learnt in the practice
5c6c65f096e5aa000163e34f,SA,1,I didn't use particular strategies I just looked at them - and I found it all fairly easy!
5f5df3d81e5227657f23050a,SA,4,carefully reading both the question and the table several times 
595ceea8dd044900012ce64a,SA,2,I found some of the questions a little difficult.
5f50f7c6c2e4fb2ad2c2ed3e,SA,2,The later questions were more difficult as I had started using what was denoted as the wrong approach to counting the most common. After that I slowed down to ensure that I was counting correctly. Also it helped to double check due to the columns as I sometimes was looking at the wrong one!
5f0f0befef60ac043a1514bd,SA,4,Most questions I found easy except the common feature matching questions which I felt I only truly began to understand towards the end. I found out that a strategy that helps me is to look in columns of one feature with the least ranks then match them to the other feature column you are comparing. Calculate the greatest number of matches.
5e190df45941db1d594988bd,SA,3,combinations were hardest
5f3f42c20b92a323011faad4,SA,3,Look at what was most logical
5c1b06d9a329230001ecc39c,SA,1,"I counted the number of each value in each feature and compared them to the amount in the other value. For combinations, I did the same but only in each rule that had both features."
5f2b328b26309f560e842f13,SA,2,For simple questions it was easy to just read off of the charts. For more complex questions (such as those where the end result was given and you had to find the most common combination) I wrote down each combination and found the most common.
5f52feb680ec78616bb452e9,SA,1,"When asked what the most common values were in a prediction I tried to count what values appeared more overall. I also tried to keep in mind what pairs appeared more often, although that one was harder because of the amount of possible combinations"
5f5e8671f233b4746ed1df46,SA,2,"Singling our the specified columns and counting symbols where they matched. I found the combination questions harder, as it was simply a case of counting all of each symbol, you had to compare the combinations. "
5f1534f66bc35e12cc08ea02,SA,2,"Counting, multiplying, addition"
5e8f8ebc09b58f28c329da6f,SA,2,"I found the tutorial helpful in showing me how to answer the questions, only the last 3 I found difficult when it asks the most common feature from 2 different minerals."
5c254999a579860001dee1ff,SA,4,figuring out the wording and breaking down the question to work out what exact category i was being asked about
5ee7fa3162ca1f0e567d6bc1,SA,2,"I JUST READ THE ANSWER AND DID IT CORRECTLY
"
5b0881a82e75960001b8b505,SA,2,The practice questions helped. I looked out for what I got wrong in practice.
5f518d581f546c3dd49139c7,SA,2,look at similarities
5c71b88ae559500001d1fcf2,SA,2,"It was easier to complete the questions that had an obvious majority of terms, but found it harder to work out when the quantities were similar. I looked at the possible combinations and tried to work it out from there."
5e5e7ad759df371a0962f255,SA,2,use the strategy for your video
58a470a2ef58a9000119c101,SA,2,Reading the chart was easy but I found the questions about combinations harder to answer.
5f179c9df58992147642ac71,SA,2,"I felt I could answer the questions relatively well until the last few which were a lot harder. It is easiest to start at the values provided in the question and work along the table, finding values that both columns may have in common before coming to a decision. Until the last question, I also ignored blank spaces to simplify the problems."
58d0632c2fc72000011f8c57,SA,2,I simply followed the rules for a decision which involved counting the highest frequency of values and combination of values.
5f577f7ae212d4234c1d4da8,SA,2,Found the second set of questions harder where I had to see what was represented most between 2 factors.
5ebaacc7e95c4c0008a443b1,SA,2,"Check I had the right rows and columns, try every combination"
5dd58453bb28b1545e09189d,SA,2,Just trying to look at what the most common values for each feature
59f4a9477086f80001941298,SA,2,"I found the combination questions in type 2 to be harder, as it required tallying 3 categories of values for 2 different features"
5d410f4d037fb000173a2832,SA,2,practiced alot
5f2985bc26309f095e4c36b4,SA,1,"I simply looked across the rows and down the columns. As there weren't too many options, I was able to count up in my head how many of each combination there were."
5ee3fd6cb261520f12fb0d41,SA,2,"I looked at the features first then worked my way down the columns of the table. I found the majority of the questions easy and was able to answer them relatively quickly, but the combination questions were a bit more challenging and slightly more time consuming."
5f4286fe1e65c84670065c30,SA,2,I followed the rules as stated in the training. It was very logically.
5d0bae193e8262001589a71c,SA,4,I found it difficult to gauge the balance of what was being asked.
5e8e474ffacc7d10481f2f15,SA,2,"counting the number of low/medium/high, it was not particularly challenging "
5e25bfae3bb6fc016a424964,SA,2,Scanned each letter quickly.
5b2f7e715307700001059b78,SA,2,I figured it out more easily without your instructions if I'm honest
5ef3bb265311db14418a71f7,SA,4,Visualising lines joining the elements and then mentally counting the number of lines that matched items that were the same
5d3ee89122ed84000172272a,SA,4,im not sure
5ee9fc83a17c1d02ad6c07e0,SA,3,"I was looking at words, which word were the one that I was seeing the most and the calcium question was hard."
5e9bc7adcf719d0d4854a34e,SA,2,Remembering how the practice questions were asked and how they were explained helped me better understand the questions of the actual test.
5edf94ca75bfd126354e13b9,GA,3,counting the colour blocks mainly
5c66bbd0d0fb37000172fdfe,GA,3,I tried to analyse the chart. the later questions seemed more difficult
5ebf20dfbe8f9015d7928160,GA,2,I tried to memorise what I learnt in the tutorial
5a5bc995f6c517000195103f,GA,1,"No particular strategy just counted the boxes, it was easy to do."
5f14d601e919fa0dfb5806c0,GA,1,found patterns
5f4c01c41782f67f7e1fe2c2,GA,2,"I just did what I learned in the tutorial, but halfway into the second part of the questions I probably made a mistake in answering the combinations because I think I accidentally changed my way of looking at it."
5f52b4ed09e6d05bcd10e577,GA,2,I found the combinations the hardest and tallied possible combinations to find my answer
5c86303fc2ceec001719a6eb,GA,1,Just followed exactly as the video and practice said and applied it to the questions - example not to match two things the wrong way 
5f5e9f1718746376c843da85,GA,3,Using the rules and predictions 
5f4293939d4eda48c389e3dd,GA,3,It was hard to do the combination questions regarding model predictions.
5706fb93914b7100093b7925,GA,2,I tried to pay attention to the frequencies of different feature levels as shown in the examples. It was somewhat harder to figure out which combinations were most frequent together compared to individual feature levels.
5cc1d40a0c244900013b90b2,GA,2,"I found going through it in easy steps in my mind logically helped, and not rushing. I found the combinations the hardest to work out as they took a bit of extra time."
5c6325a730ccf800019350c6,GA,3,Worked out how many different colours they was and then worked out what is the likely outcome with the amount there was
5483702ffdf99b24c654b810,GA,2,I just followed the directions I was given earlier. There was no strategy to speak of.
5980fff19bf4fe0001070984,GA,4,I looked across at matching pairs and judged which was most correct
5d549deaec261c001a88748f,GA,3,"just comparing, at times counting which blocks were of which colour. combinations trickier."
5c2ba30059ce1100010724b1,GA,2,Logic and calculation 
5efcbd999aad650a6e316a7f,GA,2,I looked at the tables and compared the values of each to decide what was the correct answer. It was harder to do when there were a combination of elements to compare at the same time.
5f58f1d3b5424a0b55fd0633,GA,3,I used same strategy i used during the course of the practice. 
59614e6887bef300013a4bb1,GA,2,I just tried to be methodical.
5decf59cca37283b0bf4d630,GA,1,"I can't say I used any particular strategy, I just followed the rules."
5e5c00024b439f3eb41a24d1,GA,2,questions 6-12 where easier after i saw the diagram provided which showed the comparisons via green lines.
5f22de3904d2a80008ca108a,GA,3,I went through as many possible combinations as I could and tried to figure out the most common combination from there
5f452eba7fdd360add338a96,GA,5,I found it hard comparing low/medium and medium/high and deciding on an average
5d758a3b5eeed2,GA,4,I found the most common risk factor and then looked at the second column
5c81f8a4e534f80016132626,GA,1,"The combination ones were a little difficult for the first one and everything else was easy. I just looked at the squares, no strategy really"
5f3e6c878e0c6807403c1941,GA,2,Process of elimination. Easier with fewer variables 
5db2d023d76f07000b00349a,GA,2,Mostly I just looked along the correct section of the chart- for the ones with two values I said them aloud in my head to work out what was the most common combination 
5a0e16f0063e8600012f86b7,GA,1,I looked at the possible answers and counted the values.  In hindsight I wonder if I got one wrong though due to missing out whether it was high or low risk since I had to scroll and couldn't see the question and answers at the same time (I'm doing this on a laptop but my font size might be too big).
5f53d4f0d3e03471e4eb4847,GA,1,Only in the last combination one two thing is little difficult other looks good.
5edaaffa2fb6186f3a7b4579,GA,3,I referred a lot to the color chart provided and made a couple guesses. 
5916dac8219344000197c766,GA,3,"Tried to proceed in clear logical steps. I consider myself capable but careless with these sorts of things, so I wouldn't be surprised if I made a careless mistake somewhere. When comparing likelihoods across columns, I found that it was quite easy to count instances across magnesium and calcium say, instead of magnesium and vitamin A"
5f2ae53cfaf8ee42b43890c0,GA,2,"It took me a while to remember that Low/Medium and Medium/High counted as both, so for example if Medium/High was in abundance and there was one single High and no Medium, High would be more prominent out of the two. "
5ea1f8de2ac60d0fbf1e5624,GA,4,"Counting the number of risk factors, this was fairly easy. "
5ca356cb72a23200160ce912,GA,2,I found most easy but the last few combination questions was more challenging to work out the average. My strategie was just to study and try to find the most common combination. 
59ff92117542890001aa60fc,GA,1,found it harder to look at both options to reach the value
5cb902701f3e4c00015d1ab8,GA,2,Just followed the guidelines
5f61446127a9d90d670aedfb,GA,1,"First set of questions was easier because I could clearly just count each.  Second set were slightly harder because it was harder to remember the number for more possible combinations but overall, all questions were fairly simple after viewing the tutorial and completing the practice and test."
5de32e59af7a4234aac4a6b4,GA,4,when more than one
5f2502c10858c4143fafa023,GA,2,"Everything was pretty easy since it was just graph work, the combination questions at the end were kind of confusing to solve."
5be6a48799c3970001a974a9,GA,3,"I counted the number of color in each row to find the common color and make my decision. I hard to focus on just one column, as you can easily get distracted by other columns that are next to the column you're exploring."
57a0d81d81f331000139d989,GA,2,I just tried to follow the instructions and examples that i had learned and applied this knowledge to the questions.
5f5f32b56aba30016dba61cd,GA,1,Reading aloud each one and matching colours 
5f0d70b166001b78a68dbb52,GA,2,I followed the colors on the chart
5efbce484cee781856fc95ef,GA,2,Mostly just looking at the most common levels of the thing being questioned
5f053ca10207bf83952e9acd,GA,3,i made a ratio in my head for how many highs there are to lows. it was heard to get my head around the wording of the questions at first
5d5ae6e4d5610d0001d9c24d,GA,2,The only hard thing was when it was combining two tests and wanted you to only use the values that had matching values. 
5e7f5cf737976e000850a4bb,GA,2,Just scanned the details like a list and came up with the answers. It was fairly simple to do. 
5f0d415d28d2f475730f132c,GA,4,"Initial comprehension was difficult, but once I understood, it was easy. "
5a4c334121bfa00001081a4e,GA,5,averages
5edf9c64ecf5a026f9fd3464,GA,2,It was easy to understand as there was a key in the right hand corner.
595398234d56070001645fd9,GA,2,counted the different colours and compared them on the chart on the right
5ef120f9f3fefb0f91ec6e16,GA,2,I figures it out logically using the chart provided
5f5a89361b86c0167f59ecd3,GA,2,"initially find that area of the diagram I needed and block out the rest of the info. I found the rules that contained the things I needed to look at and then I counted the rule groups eg: low, medium, high that there were. Found the ones which were a combination of two groups the most challenging
"
5f4eccea90113011962c0cd6,GA,4,"Comparing the chart, sometimes there were a few that were in between. And it was difficult to chose based on the significant counts of either ends (high or low)."
5ee454ad40c72e152991826e,GA,2,"The single dimension questions were very easy - they just required a simple count. The problems that involved combined dimensions were obviously harder because not every rule had a value for both dimensions. It ended up, like the other questions, being a matter of counting them in my head. "
5cc48c234bb96d00018a8bfe,GA,4,I found I had to keep looking back at the key on the side to remember what the colours meant
5ebc59018442d1078efabe0b,GA,4,I counted the various levels along the columns to answer the question
5f511e9381da7d30c91a46a2,GA,2,I think that once you understand how it works it’s fairly easy to answer.
5f497e30936e953c4b2ad181,GA,1,"For type 2, the hardest section was the 'combination' questions. My strategy was just to eliminate the rows where there was no information in either of the columns, and focus on the similarity of the combinations where there was information in both of the features that I was asked to look at. "
5ee41ab6e5eb9f11878e969f,GA,4,Counting the values of each feature.  Easier when there was less ambiguity such as med/high and med/low
57adbbe8bcf54e000152816b,GA,3,Some appear to have low-med and med-high so it was difficult to determine which to stick with. I tried to recognise the pattern/combinations and focusing on individual results
5eaa76b0b57e4b1ff6147799,GA,3,Added the total of each item for each risk and compared
5f44f0eadbc7ce032d4aff53,GA,2,"It was hard figuring out that I had to look at the combinations for some questions, but after that everything was easy."
568eca7be3ef9e000ca208fc,GA,2,"I found practice problem 4 to be difficult -- I don't see how I was getting it wrong. The 12 actual problems were more straightforward.

With joint features, I would first see which observations had values for both, and then visually inspect what the most common for each within this subset. The other questions could be evaluated directly."
5f5a7aa1187463145e7e14c9,GA,1,I just kept comparing them.
5cf21b7b2456d90001ee8e40,GA,2,pin pointing the parts mentioned in the question
5f2464810e30c801f0c5161e,GA,3,matching colours made it easier to quickly solve the predictions. The hardest part was not getting lost in the graphics while you're trying to figure out which ones belong to the question. 
57441f8954636a000d7865ba,GA,4,"I just compared all the squares and counted them up. It was hard because so many of them had multiple results (low, high etc) so there wasn't always a consensus. "
5f616fd996894311c4e88bf6,GA,4,I just scanned through the graph and counted how many tabs each of the things had.
5e4d94e8ee0d4509aacdfbc8,GA,3,I just counted the tiny squares. I found the combination questions difficult
5f535e68a80f5b650ed852e4,GA,2,"I located the features that were being targeted by the questions and carefully made sure that they satisfied the given prediction. I found that the easiest questions were the ones that were only concerned with one feature, and the hardest questions were the ones that required finding all the combinations of features that satisfied the predictions. "
5da6c9f479d2ea0016002983,GA,4,i found it harder when there was more of a mix of results
5d5e4baff521f100166c5d3a,GA,2,i tried to remember what the video taught me and then apply it.
5d26d5fee0cd6a0001055673,GA,2,Look for pairs or singular rules that match in the specified sections
5d2464b812b27400011db6e7,GA,2,I found single features easier to work out. Considering two features in one category took much more thought. I had to re-read the question to make sure I was considering the features requested correctly then calculate by comparing the blocks across the table carefully. It was a real brain test!
5ec682b47ee9e4078e50eac7,GA,3,For the easier questions at the start I counted the combinations. For the harder questions towards the end I had to make a rough estimate because some of them were not aligned or they were equal
5b65f528055d9e00011d53f5,GA,2,Be sure to rule out as many options as possible first and then compare
